entity_id,indicator_id,period,value,unit,source_id,retrieved_at,quality_flag,notes
cf-p-kemo-v1,population_totale,2021,183742,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-lim-pende-v1,population_totale,2003,248948,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-lim-pende-v1,population_totale,2021,442151,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-lobaye-v1,population_totale,2003,246875,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-lobaye-v1,population_totale,2021,345108,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-mambere-v1,population_totale,2003,167260,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-mambere-v1,population_totale,2021,265479,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-mambere-kadei-v1,population_totale,2003,197535,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-mambere-kadei-v1,population_totale,2021,273166,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-mbomou-v1,population_totale,2003,164009,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-mbomou-v1,population_totale,2021,257803,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-nana-gribizi-v1,population_totale,2003,117816,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-nana-gribizi-v1,population_totale,2021,208821,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-nana-mambere-v1,population_totale,2003,233666,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-nana-mambere-v1,population_totale,2021,341796,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-ombella-mpoko-v1,population_totale,2003,155438,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-ombella-mpoko-v1,population_totale,2021,269809,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-ouaka-v1,population_totale,2003,276710,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-ouaka-v1,population_totale,2021,446354,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-ouham-v1,population_totale,2003,210021,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-ouham-v1,population_totale,2021,297904,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-ouham-fafa-v1,population_totale,2003,159199,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-ouham-fafa-v1,population_totale,2021,225479,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-ouham-pende-v1,population_totale,2003,181559,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-ouham-pende-v1,population_totale,2021,243315,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-sangha-mbaere-v1,population_totale,2003,101074,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-sangha-mbaere-v1,population_totale,2021,138770,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-vakaga-v1,population_totale,2003,52255,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-vakaga-v1,population_totale,2021,83188,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
