indicator_id,name_fr,definition_fr,unit,theme,geographic_floor
prix_ihpc_alimentation,IHPC - Produits alimentaires et boissons non alcoolisées,"Cet indice suit les prix à la consommation pour la fonction COICOP « Produits alimentaires et boissons non alcoolisées », en base 2019. Il isole le coût de l'alimentation, contrairement à l'indice global qui mélange toutes les dépenses des ménages.",indice,prix,pays
prix_ihpc_transports,IHPC - Transports,"Cet indice suit les prix à la consommation pour la fonction COICOP « Transports », en base 2019.",indice,prix,pays
prix_ihpc_sante,IHPC - Santé,"Cet indice suit les prix à la consommation pour la fonction COICOP « Santé », en base 2019.",indice,prix,pays
taux_inflation,Taux d'inflation,"Ce taux, publié par l'ICASEES dans le même tableau de bord que l'IHPC, indique la variation en pourcentage du niveau général des prix, généralement sur un an. Sa méthodologie exacte n'est pas entièrement confirmée.",%,prix,pays
taux_utilisation_internet,Utilisation d'Internet,"Ce taux mesure la part de la population utilisant Internet, tous moyens d'accès confondus.",%,infrastructures,pays
abonnements_mobiles,Abonnements mobiles,"Cet indicateur compte le nombre d'abonnements de téléphonie mobile pour 100 habitants. Il peut dépasser 100, car une même personne peut détenir plusieurs abonnements ; ce n'est donc pas un taux de possession de téléphone.",pour 100 habitants,infrastructures,pays
acces_eau_potable_base,Accès à l'eau potable,Ce taux mesure la part de la population utilisant au moins un service de base d'eau potable.,%,infrastructures,pays
acces_assainissement_base,Accès à l'assainissement,Ce taux mesure la part de la population utilisant au moins un service de base d'assainissement.,%,infrastructures,pays
taux_croissance_population,Croissance de la population,"Ce taux mesure la variation d'une année sur l'autre du nombre total d'habitants. Un taux positif signifie une population en hausse, un taux négatif une population en baisse.",%,population,pays
taux_urbanisation,Population urbaine,Ce taux mesure la part de la population résidant dans une zone classée urbaine par les autorités nationales. La définition d'une zone « urbaine » varie toutefois d'un pays à l'autre.,%,population,pays
taux_dependance_demographique,Taux de dépendance démographique,"Ce taux rapporte la population de moins de 15 ans et de 65 ans et plus à celle de 15 à 64 ans, en âge de travailler. Il peut dépasser 100 ; un chiffre élevé indique que chaque personne en âge de travailler soutient, en moyenne, un nombre important de personnes à charge.",%,population,pays
esperance_vie,Espérance de vie à la naissance,"Cet indicateur donne le nombre moyen d'années qu'un nouveau-né vivrait si les tendances actuelles de mortalité par âge restaient constantes. C'est une mesure synthétique de la mortalité à un instant donné, pas une prédiction individuelle.",ans,sante,pays
taux_mortalite_moins_5ans,Mortalité des moins de 5 ans,"Ce taux indique la probabilité de décès avant 5 ans, pour 1 000 naissances vivantes. C'est l'un des indicateurs de santé les plus suivis à l'échelle internationale, car il résume l'accès aux soins de base, à la nutrition et à l'eau potable.",pour 1 000 naissances vivantes,sante,pays
taux_mortalite_infantile,Mortalité infantile,"Ce taux indique la probabilité de décès avant 1 an, pour 1 000 naissances vivantes.",pour 1 000 naissances vivantes,sante,pays
taux_mortalite_maternelle,Mortalité maternelle,"Ce taux compte les décès maternels pour 100 000 naissances vivantes, survenus pendant la grossesse, l'accouchement ou les 42 jours suivants, pour des causes liées à la grossesse.",pour 100 000 naissances vivantes,sante,pays
taux_vaccination_rougeole,Vaccination contre la rougeole,Ce taux mesure la part des enfants de 12 à 23 mois ayant reçu le vaccin contre la rougeole.,%,sante,pays
taux_vaccination_dtc,Vaccination DTC,Ce taux mesure la part des enfants de 12 à 23 mois ayant reçu le vaccin diphtérie-tétanos-coqueluche.,%,sante,pays
densite_medecins,Densité de médecins,"Cet indicateur donne le nombre de médecins pour 1 000 habitants. C'est une mesure relative à la population, à ne pas confondre avec l'effectif total (voir « Nombre de médecins » ci-dessous).",pour 1 000 habitants,sante,pays
densite_lits_hopital,Densité de lits d'hôpital,"Cet indicateur donne le nombre de lits d'hôpital pour 1 000 habitants. Il mesure la capacité hospitalière disponible, indépendamment de la population totale du pays.",pour 1 000 habitants,sante,pays
depenses_sante_pib,Dépenses de santé,"Cet indicateur mesure les dépenses courantes de santé en part du PIB. Il inclut les dépenses publiques et privées, y compris celles des ménages, et pas seulement le budget de l'État.",% du PIB,sante,pays
incidence_vih,Incidence du VIH,"Cet indicateur compte les nouvelles infections par le VIH, sur une année, pour 1 000 personnes non infectées âgées de 15 à 49 ans. Il mesure les nouveaux cas, non le nombre total de personnes vivant avec le VIH.",pour 1 000 personnes non infectées 15-49 ans,sante,pays
pib_total,PIB,"Le produit intérieur brut, exprimé en dollars américains courants, correspond à la valeur totale de tout ce qui est produit dans le pays en un an.",US$,economie,pays
pib_par_habitant,PIB par habitant,"Le produit intérieur brut par habitant, en dollars américains courants, correspond au PIB total divisé par la population. Il est plus utile que le PIB total pour comparer le niveau de vie moyen entre pays de tailles différentes.",US$,economie,pays
taux_croissance_pib,Croissance du PIB,"Ce taux mesure la croissance annuelle du PIB réel, corrigé de l'inflation ; il reflète donc une variation de production, et non seulement de prix.",%,economie,pays
taux_pauvrete,Taux de pauvreté,"Ce taux mesure la part de la population vivant sous le seuil de 3,00 $ par jour, en parité de pouvoir d'achat 2021. C'est le seuil international d'extrême pauvreté, utilisé pour comparer la pauvreté entre pays.",%,economie,pays
taux_chomage,Taux de chômage,"Ce taux mesure la part de la population active sans emploi. C'est une estimation modélisée de l'Organisation internationale du travail, et non un décompte administratif direct.",%,economie,pays
exportations_pib,Exportations,Cet indicateur mesure les exportations de biens et de services en part du PIB.,%,economie,pays
importations_pib,Importations,Cet indicateur mesure les importations de biens et de services en part du PIB.,%,economie,pays
dette_exterieure_rnb,Dette extérieure,"Cet indicateur rapporte l'encours de la dette extérieure au revenu national brut. Il indique le poids de la dette par rapport à la taille de l'économie, plutôt que son montant en valeur absolue (voir « Dette extérieure (montant) » ci-dessous).",%,economie,pays
investissements_directs_etrangers,Investissements directs étrangers,"Cet indicateur mesure les entrées nettes d'investissements directs étrangers en part du PIB, c'est-à-dire les capitaux investis par des entreprises étrangères dans le pays, moins les sorties correspondantes.",%,economie,pays
recettes_publiques_pib,Recettes publiques,"Cet indicateur mesure les recettes de l'État hors dons, en part du PIB, c'est-à-dire ce que l'État collecte par ses propres moyens (impôts, taxes, etc.), sans l'aide extérieure budgétaire.",%,economie,pays
valeur_ajoutee_agriculture_pib,Valeur ajoutée de l'agriculture,"Cet indicateur mesure la contribution de l'agriculture, de la sylviculture et de la pêche à la richesse produite dans le pays, en part du PIB.",%,agriculture,pays
terres_agricoles,Terres agricoles,Ce taux mesure la part du territoire national utilisée à des fins agricoles.,%,agriculture,pays
terres_arables,Terres arables,"Ce taux mesure la part du territoire national en terres arables, c'est-à-dire les terres pouvant être labourées pour des cultures temporaires ; il s'agit d'un sous-ensemble des terres agricoles.",%,agriculture,pays
couverture_forestiere,Couverture forestière,Ce taux mesure la part du territoire national couverte de forêt.,%,agriculture,pays
indice_production_alimentaire,Production alimentaire,"Cet indice, en base 2014-2016 = 100, mesure l'évolution dans le temps du volume de nourriture produite, indépendamment de son prix ou de sa valeur en monnaie.",indice,agriculture,pays
rendement_cereales,Rendement des céréales,"Cet indicateur mesure le rendement des céréales, en kilogrammes par hectare récolté, c'est-à-dire la productivité des terres cultivées. Il se distingue de la production totale (voir « Production de céréales » ci-dessous), qui dépend aussi de la surface cultivée.",kg/ha,agriculture,pays
consommation_engrais,Consommation d'engrais,"Cet indicateur mesure la consommation d'engrais, en kilogrammes par hectare de terre arable. C'est un indicateur d'intensification agricole ; une valeur très basse signale une agriculture peu mécanisée et peu intrante.",kg/ha,agriculture,pays
taux_sous_alimentation,Sous-alimentation,"Ce taux mesure la part de la population en sous-alimentation, c'est-à-dire dont l'apport calorique habituel est insuffisant pour mener une vie active et saine.",%,agriculture,pays
emploi_agricole,Emploi agricole,Ce taux mesure la part de l'emploi total occupée par l'agriculture. C'est une estimation modélisée de l'Organisation internationale du travail.,%,agriculture,pays
nombre_medecins,Nombre de médecins,"Cet indicateur donne l'effectif total de médecins en exercice dans le pays. C'est un décompte brut, à distinguer de la densité pour 1 000 habitants (voir « Densité de médecins » ci-dessus), qui tient compte de la taille de la population.",personnes,sante,pays
nombre_personnel_infirmier,Personnel infirmier et sages-femmes,Cet indicateur donne l'effectif total de personnel infirmier et de sages-femmes en exercice dans le pays.,personnes,sante,pays
nombre_lits_hopital,Nombre de lits d'hôpital,"Cette valeur est une estimation calculée (densité de lits multipliée par la population), et non un décompte publié directement.",lits,sante,pays
exportations_montant,Exportations (valeur),"Cet indicateur donne la valeur des exportations de biens et de services, en dollars américains courants, à distinguer de leur part dans le PIB (voir « Exportations » ci-dessus).",US$,economie,pays
importations_montant,Importations (valeur),"Cet indicateur donne la valeur des importations de biens et de services, en dollars américains courants.",US$,economie,pays
dette_exterieure_montant,Dette extérieure (montant),"Cet indicateur donne l'encours de la dette extérieure, en dollars américains courants, c'est-à-dire le montant total dû, à distinguer de son poids relatif au revenu national (voir « Dette extérieure » ci-dessus).",US$,economie,pays
superficie_agricole,Superficie agricole,"Cet indicateur donne la superficie totale des terres agricoles, en kilomètres carrés, à distinguer de leur part dans le territoire national (voir « Terres agricoles » ci-dessus).",km²,agriculture,pays
production_cereales,Production de céréales,"Cet indicateur donne la production totale de céréales, en tonnes, c'est-à-dire le volume récolté. Il dépend à la fois de la surface cultivée et du rendement par hectare (voir « Rendement des céréales » ci-dessus).",tonnes,agriculture,pays
prix_manioc_kg,Prix du manioc (cossette),"Ce prix correspond au prix de détail du kilogramme de manioc séché (cossette), relevé au marché de Bangui. C'est un prix réel payé par les consommateurs, à distinguer des indices ci-dessus, qui suivent une évolution relative plutôt qu'un montant en francs CFA.",FCFA/kg,prix,marche
prix_riz_kg,Prix du riz,"Ce prix correspond au prix de détail du kilogramme de riz, relevé au marché de Bangui.",FCFA/kg,prix,marche
prix_mais_kg,Prix du maïs,"Ce prix correspond au prix de détail du kilogramme de maïs, relevé au marché de Bangui.",FCFA/kg,prix,marche
prix_boeuf_kg,Prix de la viande de bœuf,"Ce prix correspond au prix de détail du kilogramme de viande de bœuf, relevé au marché de Bangui.",FCFA/kg,prix,marche
prix_huile_palme_l,Prix de l'huile de palme,"Ce prix correspond au prix de détail du litre d'huile de palme, relevé au marché de Bangui.",FCFA/L,prix,marche
pib_total_fcfa,"PIB (comptes nationaux, FCFA)","Le produit intérieur brut à prix courant, en francs CFA, provient des comptes nationaux rebasés de l'ICASEES (base 2019). Il ne doit pas être comparé directement au PIB en dollars ci-dessus : la source, la devise et la méthode de conversion diffèrent.",FCFA,economie,pays
pib_par_habitant_fcfa,"PIB par habitant (comptes nationaux, FCFA)","Le produit intérieur brut par habitant, en francs CFA, provient des comptes nationaux rebasés de l'ICASEES (base 2019). Il ne doit pas être comparé directement au PIB par habitant en dollars ci-dessus : la source, la devise et la méthode de conversion diffèrent.",FCFA,economie,pays
retard_croissance_enfants,Retard de croissance (enfants de moins de 5 ans),"Ce taux mesure la part des enfants de moins de 5 ans dont la taille pour l'âge est inférieure à -2 écarts-types de la référence de croissance de l'OMS. Il traduit un retard de croissance chronique, résultat d'une malnutrition sur le long terme.",%,sante,pays
emaciation_enfants,Émaciation (enfants de moins de 5 ans),"Ce taux mesure la part des enfants de moins de 5 ans dont le poids pour la taille est inférieur à -2 écarts-types de la référence de croissance de l'OMS. Il traduit une émaciation aiguë, résultat d'une malnutrition à court terme, plus urgente à traiter que le retard de croissance.",%,sante,pays
allaitement_exclusif,Allaitement exclusif (0-5 mois),"Ce taux mesure la part des enfants de 0 à 5 mois nourris exclusivement au lait maternel, sans autre aliment ni liquide.",%,sante,pays
accouchement_assiste,Accouchement assisté par du personnel qualifié,"Ce taux mesure la part des accouchements assistés par un professionnel de santé formé : médecin, sage-femme ou infirmier.",%,sante,pays
soins_prenatals_4visites,Soins prénatals (4 visites ou plus),Ce taux mesure la part des femmes de 15 à 49 ans ayant reçu au moins 4 consultations prénatales pendant leur dernière grossesse.,%,sante,pays
enregistrement_naissances,Enregistrement des naissances (moins de 5 ans),"Ce taux mesure la part des enfants de moins de 5 ans dont la naissance a été enregistrée auprès d'une autorité civile. Sans acte de naissance, l'accès à l'école, aux soins ou à une pièce d'identité peut être compliqué plus tard dans la vie.",%,population,pays
mariage_precoce_filles,Mariage avant 18 ans (femmes de 20 à 24 ans),Ce taux mesure la part des femmes de 20 à 24 ans mariées ou en union avant l'âge de 18 ans.,%,population,pays
indice_activite_economique,Indice d'activité économique (trimestriel),"Cet indice trimestriel mesure l'activité économique totale et est publié dans le cadre e-GDDS du FMI. Contrairement aux autres indicateurs économiques de cette page, qui sont annuels, il permet de suivre l'évolution entre deux points de PIB annuels.",indice,economie,pays
nombre_etablissements_sante,Nombre d'établissements de santé,"Cet indicateur donne un décompte national des établissements de santé : hôpitaux, centres et postes de santé. Deux sources sont disponibles et ne s'accordent pas, un registre gouvernemental compilé en 2019 et une cartographie communautaire (OpenStreetMap) mise à jour en continu ; le détail des deux chiffres est présenté ci-dessous plutôt qu'un seul nombre choisi.",établissements,sante,region
nombre_etablissements_scolaires,Nombre d'établissements scolaires,"Cet indicateur donne un décompte national des établissements scolaires (préscolaire, primaire, secondaire, technique et professionnel), public et privé confondus, à partir du recensement scolaire administratif annuel.",établissements,education,pays
effectif_eleves,Effectif des élèves,"Cet indicateur donne le nombre total d'élèves inscrits, tous niveaux d'enseignement confondus, du préscolaire à l'enseignement technique et professionnel, public et privé confondus.",élèves,education,pays
nombre_enseignants,Nombre d'enseignants,"Cet indicateur donne le nombre total d'enseignants en poste, tous niveaux d'enseignement confondus, public et privé confondus.",enseignants,education,pays
taux_reussite_baccalaureat,Taux de réussite au baccalauréat général,"Ce taux mesure la part des candidats ayant obtenu le baccalauréat général parmi ceux qui se sont présentés à l'examen, toutes séries confondues.",%,education,pays
population_hommes,Population masculine,"Cet indicateur donne le nombre d'hommes dénombrés lors du recensement, à l'échelle nationale.",habitants,population,pays
population_femmes,Population féminine,"Cet indicateur donne le nombre de femmes dénombrées lors du recensement, à l'échelle nationale.",habitants,population,pays
budget_ressources_totales,Ressources totales du budget de l'État,"Les ressources totales prévues au budget général de l'État pour l'exercice, telles que votées par la loi de finances : recettes intérieures (impôts, douanes, trésor) et ressources extérieures (dons projets, appuis budgétaires, tirages sur emprunts). Un chiffre prévisionnel voté, pas l'exécution réelle de l'année.",FCFA,economie,pays
budget_depenses_totales,Dépenses totales du budget de l'État,"Les dépenses totales prévues au budget général de l'État pour l'exercice, telles que votées par la loi de finances : dépenses primaires (fonctionnement), charges financières de la dette et dépenses d'investissement. Un chiffre prévisionnel voté, pas l'exécution réelle de l'année.",FCFA,economie,pays
budget_solde_global,Solde budgétaire global,"L'écart entre les ressources totales et les dépenses totales du budget de l'État pour l'exercice, tel que voté par la loi de finances. Une valeur négative indique un déficit budgétaire prévisionnel, couvert par emprunt ou appui extérieur.",FCFA,economie,pays
